company,year,salary,university,term,location,bonus,role,arrangement
Loblaw,2024,31.0,University of Waterloo,2.0,,0.0,Data Science,
Loblaw,2023,30.0,University of Waterloo,2.0,,0.0,Data Analyst,
Mastercard Foundation,2023,19.5,University of Waterloo,1.0,,0.0,Unreported,
Mattermost,2024,29.0,University of Waterloo,,,0.0,Unreported,
Mattermost,2022,35.0,University of Waterloo,5.0,,0.0,PM,
Mattermost,2023,45.0,University of Waterloo,6.0,,0.0,PM,
Manulife,2022,25.0,University of Waterloo,,,0.0,Unreported,
Manulife,2022,26.0,University of Waterloo,4.0,,0.0,Unreported,
Mach7 Technologies,2024,25.0,University of Waterloo,3.0,,0.0,Systems/IT,
McAfee,2024,25.0,University of Waterloo,2.0,,0.0,Unreported,
Meta,2024,70.73,University of Waterloo,,,0.0,Unreported,
Metrist,2023,33.65,University of Waterloo,,,0.0,Unreported,
Microart Services,2024,26.0,University of Waterloo,1.0,,0.0,Unreported,
Microsoft,2024,63.48,University of Waterloo,,,18768.0,Unreported,
Milliman,2024,41.4,University of Waterloo,,,8970.0,Actuarial Analyst,
Molex,2024,23.0,University of Waterloo,2.0,,0.0,Unreported,
Molex,2023,25.0,University of Waterloo,4.0,,0.0,Unreported,
MotoInsight,2022,25.88,University of Waterloo,,,0.0,Unreported,
Motorola Solutions,2024,37.0,University of Waterloo,5.0,,0.0,Product Design,
Moveworks,2022,81.94,University of Waterloo,,,2760.0,Unreported,
Mozilla,2024,30.0,University of Waterloo,,,0.0,Unreported,
Munich Re,2024,27.5,University of Waterloo,,,1500.0,Unreported,
NASDAQ,2023,28.0,University of Waterloo,,,0.0,Unreported,
Newfront Insurance,2022,90.0,University of Waterloo,6.0,,0.0,Unreported,
Nextroll,2023,57.0,University of Waterloo,,,331.2,Unreported,
Nissan,2023,21.0,University of Waterloo,,,0.0,Unreported,
Nokia,2024,25.0,University of Waterloo,4.0,,0.0,Unreported,
Nokia,2023,33.0,University of Waterloo,5.0,,0.0,Unreported,
Noom,2024,64.86,University of Waterloo,,,8280.0,Unreported,
Norm Li,2022,25.0,University of Waterloo,,,0.0,Unreported,
Nvidia,2022,36.0,University of Waterloo,5.0,,0.0,Unreported,
Nvidia,2022,30.5,University of Waterloo,3.0,,3450.0,Unreported,
Nvidia,2022,33.0,University of Waterloo,4.0,,3450.0,Unreported,
Nvidia,2024,34.5,University of Waterloo,4.0,,3450.0,Unreported,
Nvidia,2022,36.0,University of Waterloo,5.0,,3450.0,Unreported,
NuraLogix,2023,28.0,University of Waterloo,3.0,,0.0,Unreported,
Nuro,2023,77.63,University of Waterloo,,,4140.0,Unreported,
Nuvalence,2023,55.0,University of Waterloo,5.0,,0.0,Unreported,
Nuvalence,2024,60.0,University of Waterloo,,,0.0,Unreported,
Nuvation,2023,33.75,University of Waterloo,3.0,,0.0,Unreported,
OANDA,2022,23.08,University of Waterloo,2.0,,0.0,Unreported,
OANDA,2022,31.25,University of Waterloo,5.0,,0.0,Unreported,
Okta,2022,42.5,University of Waterloo,,,0.0,Unreported,
OLG,2024,23.0,University of Waterloo,1.0,,0.0,Unreported,
OMERS,2024,24.0,University of Waterloo,,,0.0,Unreported,
OMERS,2023,28.0,University of Waterloo,4.0,,0.0,Unreported,
Onsemi,2023,30.29,University of Waterloo,,,0.0,Unreported,
Ontario Institute for Cancer Research,2022,18.6,University of Waterloo,1.0,,0.0,Unreported,
Ontario Institute for Cancer Research,2023,21.0,University of Waterloo,2.0,,0.0,Unreported,
Ontario Ministry of Health,2023,17.27,University of Waterloo,1.0,,0.0,Unreported,
Ontario Ministry of Health,2024,18.42,University of Waterloo,2.0,,0.0,Unreported,
OpenText,2024,21.0,University of Waterloo,2.0,,0.0,Unreported,
OpenText,2024,30.25,University of Waterloo,3.0,,0.0,Unreported,
OPSEU Pension Trust,2024,25.5,University of Waterloo,,,0.0,Unreported,
Oracle,2024,35.0,University of Waterloo,3.0,,0.0,Unreported,
Oracle,2024,40.0,University of Waterloo,4.0,,0.0,Unreported,
Penfield.AI,2022,35.0,University of Waterloo,,,0.0,Unreported,
Pepsico,2024,22.0,University of Waterloo,,,0.0,Unreported,
Pienso,2025,67.0,University of Waterloo,5.0,,0.0,Unreported,
PlayStation,2023,31.0,University of Waterloo,2.0,,0.0,Unreported,
PointClickCare,2023,28.5,University of Waterloo,2.0,,0.0,Unreported,
Pratt and Whitney,2024,22.0,University of Waterloo,1.0,,0.0,Quality Engineering (Engine Control),
primer.ai,2022,50.0,University of Waterloo,4.0,,0.0,Unreported,
Prodigy Education,2023,33.0,University of Waterloo,5.0,,0.0,Unreported,
Questrade,2024,21.0,University of Waterloo,1.0,,0.0,Unreported,
Radix Labs,2023,34.5,University of Waterloo,,,0.0,Unreported,
Railvision Analytics,2023,30.0,University of Waterloo,3.0,,0.0,Unreported,
Raposa Research,2024,138.0,University of Waterloo,,,0.0,Unreported,
RBC,2024,22.0,University of Waterloo,2.0,,0.0,Business Analyst,
RBC,2022,28.0,University of Waterloo,,,0.0,Data Analyst,
RBC,2022,30.0,University of Waterloo,1.0,,0.0,Risk Management,
RBC,2024,30.75,University of Waterloo,3.0,,0.0,SWDE,
Reebee,2024,27.4,University of Waterloo,,,0.0,Unreported,
Relay Financial,2023,35.0,University of Waterloo,,,0.0,Unreported,
Relic Entertainment,2022,25.0,University of Waterloo,2.0,,0.0,Unreported,
Remitbee,2024,20.0,University of Waterloo,3.0,,0.0,Unreported,
Replicant Inc,2024,36.0,University of Waterloo,4.0,,0.0,Unreported,
ResQ,2024,36.0,University of Waterloo,5.0,,0.0,Unreported,
Ritual,2022,20.0,University of Waterloo,1.0,,0.0,QA,
Ritual,2023,46.0,University of Waterloo,6.0,,0.0,Unreported,
Robinhood,2024,66.24,University of Waterloo,,,11040.0,Unreported,
Roblox,2024,77.28,University of Waterloo,,,11040.0,Unreported,
Roblox,2024,85.56,University of Waterloo,,,11040.0,Unreported,
Roblox,2024,82.8,University of Waterloo,,,11040.0,Unreported,
Rocscience,2022,24.0,University of Waterloo,,,0.0,Unreported,
Rogers,2022,22.5,University of Waterloo,,,0.0,Unreported,
Rogers,2024,25.75,University of Waterloo,2.0,,0.0,Unreported,
Roo,2024,48.3,University of Waterloo,4.0,,0.0,Software Engineer,
Sagen,2022,23.0,University of Waterloo,2.0,,0.0,Unreported,
Sagen,2022,25.0,University of Waterloo,3.0,,0.0,Unreported,
Samsung Research America,2023,53.82,University of Waterloo,,,12420.0,Unreported,
SAP,2022,24.0,University of Waterloo,2.0,,0.0,Unreported,
SAP,2024,40.0,University of Waterloo,1.0,,0.0,Unreported,
Scotiabank,2022,31.0,University of Waterloo,4.0,,0.0,Data Science/Soft Dev,
Shopify,2025,45.0,University of Waterloo,,,5520.0,Unreported,
Shoplogic,2022,27.0,University of Waterloo,,,0.0,Unreported,
Sibros,2023,62.1,University of Waterloo,,,3864.0,Unreported,
SickKids,2024,,University of Waterloo,,,0.0,Unreported,
SideFX,2024,35.0,University of Waterloo,,,0.0,Unreported,
SideFX,2024,46.0,University of Waterloo,6.0,,0.0,Unreported,
Simplii Financial,2024,26.0,University of Waterloo,,,0.0,Product Analyst,
Skydio,2024,52.0,University of Waterloo,3.0,,0.0,Unreported,
Skydio,2024,66.24,University of Waterloo,4.0,,6900.0,Hardware,
Smile CDR,2023,36.0,University of Waterloo,3.0,,0.0,Unreported,
Snap Inc,2023,77.63,University of Waterloo,,,16560.0,Unreported,
Snowflake computing,2024,49.0,University of Waterloo,,,0.0,Unreported,
Solana Labs,2024,82.8,University of Waterloo,,,16560.0,Unreported,
SoundHound,2023,54.34,University of Waterloo,,,0.0,Unreported,
Spotwork,2023,20.0,University of Waterloo,1.0,,0.0,QA,
Spotwork,2023,22.0,University of Waterloo,2.0,,0.0,Mobile Software Engineer,
SPS Commerce,2023,30.0,University of Waterloo,3.0,,0.0,Unreported,
SPS Commerce,2024,35.0,University of Waterloo,3.0,,0.0,Unreported,
Splunk,2022,33.0,University of Waterloo,,,0.0,Unreported,
Splunk,2022,82.8,University of Waterloo,,,0.0,Unreported,
Square,2023,38.0,University of Waterloo,,,5520.0,Unreported,
Squaredance,2022,35.0,University of Waterloo,2.0,,0.0,Unreported,
Squarepoint Capital,2023,40.87,University of Waterloo,,,8280.0,Unreported,
SS&C Technologies,2022,26.0,University of Waterloo,2.0,,0.0,Unreported,
SS&C Technologies,2022,31.33,University of Waterloo,3.0,,0.0,Unreported,
SS&C Technologies,2024,38.0,University of Waterloo,4.0,,0.0,Unreported,
Stablecorp,2024,22.5,University of Waterloo,2.0,,0.0,Unreported,
Stackadapt,2022,50.0,University of Waterloo,5.0,,0.0,Unreported,
Standardbio Tools,2023,22.0,University of Waterloo,3.0,,0.0,Unreported,
Stealth Startup,2022,64.0,University of Waterloo,,,0.0,Unreported,
Stratum ai,2024,32.5,University of Waterloo,,,0.0,Unreported,
Super.com,2023,37.0,University of Waterloo,3.0,,0.0,Unreported,
Super.com,2023,39.0,University of Waterloo,5.0,,0.0,Unreported,
Sync.com,2024,20.0,University of Waterloo,,,0.0,Unreported,
System 1,2024,28.0,University of Waterloo,2.0,,0.0,Unreported,
Tactic Studios,2023,35.0,University of Waterloo,,,0.0,Unreported,
Tailscale,2023,35.0,University of Waterloo,,,0.0,Unreported,
Tealbook,2022,35.0,University of Waterloo,,,0.0,Unreported,
Tenneco,2022,20.0,University of Waterloo,1.0,,0.0,Engineering,
TD,2024,31.0,University of Waterloo,3.0,,0.0,Software Engineer,
TD,2024,27.5,University of Waterloo,2.0,,0.0,Non-swe,
TD,2022,28.0,University of Waterloo,3.0,,0.0,Product Design,
Teledyne Dalsa,2024,,University of Waterloo,,,0.0,Unreported,
Tesla,2022,32.0,University of Waterloo,,,0.0,Unspecified roles,
Tesla,2023,41.4,University of Waterloo,,,5520.0,Unspecified roles,
Tesla,2023,66.24,University of Waterloo,5.0,,4692.0,Firmware,
Tesla,2024,57.96,University of Waterloo,4.0,,3864.0,Hardware,
Texada Software,2024,21.0,University of Waterloo,1.0,,0.0,Unreported,
Texada Software,2024,32.0,University of Waterloo,4.0,,0.0,Unreported,
Texada Software,2023,25.0,University of Waterloo,3.0,,0.0,Unreported,
TextNow,2024,35.0,University of Waterloo,4.0,,1500.0,Unreported,
The Co-operators,2021,20.0,University of Waterloo,1.0,,0.0,Unreported,
theScore,2024,40.0,University of Waterloo,4.0,,0.0,Unreported,
theScore,2024,43.0,University of Waterloo,5.0,,0.0,Unreported,
Thomson Reuters,2023,34.5,University of Waterloo,,,0.0,Unreported,
Thomson Reuters,2022,31.25,University of Waterloo,3.0,,0.0,Unreported,
Thumbtack,2024,35.0,University of Waterloo,,,500.0,Unreported,
Thumbtack,2022,42.0,University of Waterloo,6.0,,2500.0,Unreported,
TikTok,2024,47.0,University of Waterloo,,,7728.0,Machine Learning Engineering,
Titanium Agency,2022,25.0,University of Waterloo,1.0,,0.0,Unreported,
Titanium Agency,2023,27.0,University of Waterloo,2.0,,0.0,Unreported,
Titanium Agency,2023,35.0,University of Waterloo,4.0,,0.0,Unreported,
Toyota Motor Manufacturing Canada,2023,,University of Waterloo,,,0.0,Unreported,
TOOLBX,2023,25.0,University of Waterloo,,,0.0,Unreported,
TOOLBX,2023,30.0,University of Waterloo,4.0,,0.0,Unreported,
